One	CD	One
.	.	.
Then	RB	Then
she	PRP	she
began	VBD	begin
to	TO	to
bewail	VB	bewail
her	PRP$	her
loss	NN	loss
,	,	,
and	CC	and
said	VBD	say
,	,	,
``	``	``
Alas	UH	Alas
!	.	!
if	IN	if
I	PRP	I
could	MD	could
only	RB	only
get	VB	get
my	PRP$	my
ball	NN	ball
again	RB	again
,	,	,
I	PRP	I
would	MD	would
give	VB	give
all	DT	all
my	PRP$	my
fine	JJ	fine
clothes	NNS	clothes
and	CC	and
jewels	NNS	jewel
,	,	,
and	CC	and
everything	NN	everything
that	IN	that
I	PRP	I
have	VBP	have
in	IN	in
the	DT	the
world	NN	world
.	.	.
''	''	''
Whilst	NNP	Whilst
she	PRP	she
was	VBD	be
speaking	VBG	speak
,	,	,
a	DT	a
frog	NN	frog
put	VBD	put
its	PRP$	it
head	NN	head
out	IN	out
of	IN	of
the	DT	the
water	NN	water
,	,	,
and	CC	and
said	VBD	say
,	,	,
``	``	``
Princess	NNP	Princess
,	,	,
why	WRB	why
do	VBP	do
you	PRP	you
weep	VB	weep
so	RB	so
bitterly	RB	bitterly
?	.	?
''	''	''
``	``	``
Alas	DT	Alas
!	.	!
''	''	''
said	VBD	say
she	PRP	she
,	,	,
``	``	``
what	WP	what
can	MD	can
you	PRP	you
do	VB	do
for	IN	for
me	PRP	me
,	,	,
you	PRP	you
nasty	VBP	nasty
frog	NNS	frog
?	.	?
My	PRP$	My
golden	JJ	golden
ball	NN	ball
has	VBZ	have
fallen	VBN	fall
into	IN	into
the	DT	the
spring	NN	spring
.	.	.
''	''	''
The	DT	The
frog	NN	frog
said	VBD	say
,	,	,
``	``	``
I	PRP	I
want	VBP	want
not	RB	not
your	PRP$	your
pearls	NNS	pearl
,	,	,
and	CC	and
jewels	NNS	jewel
,	,	,
and	CC	and
fine	JJ	fine
clothes	NNS	clothes
;	:	;
but	CC	but
if	IN	if
you	PRP	you
will	MD	will
love	VB	love
me	PRP	me
,	,	,
and	CC	and
let	VB	let
me	PRP	me
live	VB	live
with	IN	with
you	PRP	you
and	CC	and
eat	VB	eat
from	IN	from
off	IN	off
your	PRP$	your
golden	JJ	golden
plate	NN	plate
,	,	,
and	CC	and
sleep	JJ	sleep
upon	IN	upon
your	PRP$	your
bed	NN	bed
,	,	,
I	PRP	I
will	MD	will
bring	VB	bring
you	PRP	you
your	PRP$	your
ball	NN	ball
again	RB	again
.	.	.
''	''	''
``	``	``
What	WP	What
nonsense	NN	nonsense
,	,	,
''	''	''
thought	VBD	think
the	DT	the
princess	NN	princess
,	,	,
``	``	``
this	DT	this
silly	JJ	silly
frog	NN	frog
is	VBZ	be
talking	VBG	talk
!	.	!
He	PRP	He
can	MD	can
never	RB	never
even	RB	even
get	VB	get
out	IN	out
of	IN	of
the	DT	the
spring	NN	spring
to	TO	to
visit	VB	visit
me	PRP	me
,	,	,
though	IN	though
he	PRP	he
may	MD	may
be	VB	be
able	JJ	able
to	TO	to
get	VB	get
my	PRP$	my
ball	NN	ball
for	IN	for
me	PRP	me
,	,	,
and	CC	and
therefore	RB	therefore
I	PRP	I
will	MD	will
tell	VB	tell
him	PRP	him
he	PRP	he
shall	MD	shall
have	VB	have
what	WP	what
he	PRP	he
asks	VBZ	ask
.	.	.
''	''	''
So	IN	So
she	PRP	she
said	VBD	say
to	TO	to
the	DT	the
frog	NN	frog
,	,	,
``	``	``
Well	RB	Well
,	,	,
if	IN	if
you	PRP	you
will	MD	will
bring	VB	bring
me	PRP	me
my	PRP$	my
ball	NN	ball
,	,	,
I	PRP	I
will	MD	will
do	VB	do
all	DT	all
you	PRP	you
ask	VBP	ask
.	.	.
''	''	''
Then	RB	Then
the	DT	the
frog	NN	frog
put	VBD	put
his	PRP$	his
head	NN	head
down	RB	down
,	,	,
and	CC	and
dived	VBD	dive
deep	JJ	deep
under	IN	under
the	DT	the
water	NN	water
;	:	;
and	CC	and
after	IN	after
a	DT	a
little	JJ	little
while	IN	while
he	PRP	he
came	VBD	come
up	RB	up
again	RB	again
,	,	,
with	IN	with
the	DT	the
ball	NN	ball
in	IN	in
his	PRP$	his
mouth	NN	mouth
,	,	,
and	CC	and
threw	VBD	throw
it	PRP	it
on	IN	on
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
spring	NN	spring
.	.	.
As	RB	As
soon	RB	soon
as	IN	a
the	DT	the
young	JJ	young
princess	NN	princess
saw	VBD	saw
her	PRP$	her
ball	NN	ball
,	,	,
she	PRP	she
ran	VBD	run
to	TO	to
pick	VB	pick
it	PRP	it
up	RP	up
;	:	;
and	CC	and
she	PRP	she
was	VBD	be
so	RB	so
overjoyed	JJ	overjoyed
to	TO	to
have	VB	have
it	PRP	it
in	IN	in
her	PRP$	her
hand	NN	hand
again	RB	again
,	,	,
that	IN	that
she	PRP	she
never	RB	never
thought	VBD	think
of	IN	of
the	DT	the
frog	NN	frog
,	,	,
but	CC	but
ran	VBD	run
home	NN	home
with	IN	with
it	PRP	it
as	RB	as
fast	RB	fast
as	IN	a
she	PRP	she
could	MD	could
.	.	.
The	DT	The
frog	NN	frog
called	VBN	call
after	IN	after
her	PRP	her
,	,	,
``	``	``
Stay	NNP	Stay
,	,	,
princess	NN	princess
,	,	,
and	CC	and
take	VB	take
me	PRP	me
with	IN	with
you	PRP	you
as	IN	a
you	PRP	you
said	VBD	say
,	,	,
''	''	''
But	CC	But
she	PRP	she
did	VBD	do
not	RB	not
stop	VB	stop
to	TO	to
hear	VB	hear
a	DT	a
word	NN	word
.	.	.
The	DT	The
next	JJ	next
day	NN	day
,	,	,
just	RB	just
as	IN	a
the	DT	the
princess	NN	princess
had	VBD	have
sat	VBN	sit
down	RP	down
to	TO	to
dinner	NN	dinner
,	,	,
she	PRP	she
heard	VBD	hear
a	DT	a
strange	JJ	strange
noise	NN	noise
--	:	--
tap	NN	tap
,	,	,
tap	NN	tap
--	:	--
plash	NN	plash
,	,	,
plash	NN	plash
--	:	--
as	IN	a
if	IN	if
something	NN	something
was	VBD	be
coming	VBG	come
up	RP	up
the	DT	the
marble	JJ	marble
staircase	NN	staircase
:	:	:
and	CC	and
soon	RB	soon
afterwards	NNS	afterwards
there	EX	there
was	VBD	be
a	DT	a
gentle	JJ	gentle
knock	NN	knock
at	IN	at
the	DT	the
door	NN	door
,	,	,
and	CC	and
a	DT	a
little	JJ	little
voice	NN	voice
cried	VBD	cry
out	RP	out
and	CC	and
said	VBD	say
:	:	:
``	``	``
Open	VB	Open
the	DT	the
door	NN	door
,	,	,
my	PRP$	my
princess	JJ	princess
dear	NN	dear
,	,	,
Open	NNP	Open
the	DT	the
door	NN	door
to	TO	to
thy	VB	thy
true	JJ	true
love	NN	love
here	RB	here
!	.	!
And	CC	And
mind	VB	mind
the	DT	the
words	NNS	word
that	WDT	that
thou	VBP	thou
and	CC	and
I	PRP	I
said	VBD	say
By	IN	By
the	DT	the
fountain	NN	fountain
cool	NN	cool
,	,	,
in	IN	in
the	DT	the
greenwood	NN	greenwood
shade	NN	shade
.	.	.
''	''	''
Then	RB	Then
the	DT	the
princess	NN	princess
ran	VBD	run
to	TO	to
the	DT	the
door	NN	door
and	CC	and
opened	VBD	open
it	PRP	it
,	,	,
and	CC	and
there	EX	there
she	PRP	she
saw	VBD	saw
the	DT	the
frog	NN	frog
,	,	,
whom	WP	whom
she	PRP	she
had	VBD	have
quite	RB	quite
forgotten	VBN	forget
.	.	.
At	IN	At
this	DT	this
sight	NN	sight
she	PRP	she
was	VBD	be
sadly	RB	sadly
frightened	VBN	frighten
,	,	,
and	CC	and
shutting	VBG	shut
the	DT	the
door	NN	door
as	RB	as
fast	RB	fast
as	IN	a
she	PRP	she
could	MD	could
came	VBD	come
back	RB	back
to	TO	to
her	PRP$	her
seat	NN	seat
.	.	.
The	DT	The
king	NN	king
,	,	,
her	PRP$	her
father	NN	father
,	,	,
seeing	VBG	see
that	IN	that
something	NN	something
had	VBD	have
frightened	VBN	frighten
her	PRP	her
,	,	,
asked	VBD	ask
her	PRP$	her
what	WP	what
was	VBD	be
the	DT	the
matter	NN	matter
.	.	.
``	``	``
There	EX	There
is	VBZ	be
a	DT	a
nasty	JJ	nasty
frog	NN	frog
,	,	,
''	''	''
said	VBD	say
she	PRP	she
,	,	,
``	``	``
at	IN	at
the	DT	the
door	NN	door
,	,	,
that	WDT	that
lifted	VBD	lift
my	PRP$	my
ball	NN	ball
for	IN	for
me	PRP	me
out	IN	out
of	IN	of
the	DT	the
spring	NN	spring
this	DT	this
morning	NN	morning
:	:	:
I	PRP	I
told	VBD	tell
him	PRP	him
that	IN	that
he	PRP	he
should	MD	should
live	VB	live
with	IN	with
me	PRP	me
here	RB	here
,	,	,
thinking	VBG	think
that	IN	that
he	PRP	he
could	MD	could
never	RB	never
get	VB	get
out	IN	out
of	IN	of
the	DT	the
spring	NN	spring
;	:	;
but	CC	but
there	EX	there
he	PRP	he
is	VBZ	be
at	IN	at
the	DT	the
door	NN	door
,	,	,
and	CC	and
he	PRP	he
wants	VBZ	want
to	TO	to
come	VB	come
in	IN	in
.	.	.
''	''	''
While	IN	While
she	PRP	she
was	VBD	be
speaking	VBG	speak
the	DT	the
frog	NN	frog
knocked	VBD	knock
again	RB	again
at	IN	at
the	DT	the
door	NN	door
,	,	,
and	CC	and
said	VBD	say
:	:	:
``	``	``
Open	VB	Open
the	DT	the
door	NN	door
,	,	,
my	PRP$	my
princess	JJ	princess
dear	NN	dear
,	,	,
Open	NNP	Open
the	DT	the
door	NN	door
to	TO	to
thy	VB	thy
true	JJ	true
love	NN	love
here	RB	here
!	.	!
And	CC	And
mind	VB	mind
the	DT	the
words	NNS	word
that	WDT	that
thou	VBP	thou
and	CC	and
I	PRP	I
said	VBD	say
By	IN	By
the	DT	the
fountain	NN	fountain
cool	NN	cool
,	,	,
in	IN	in
the	DT	the
greenwood	NN	greenwood
shade	NN	shade
.	.	.
''	''	''
Then	RB	Then
the	DT	the
king	NN	king
said	VBD	say
to	TO	to
the	DT	the
young	JJ	young
princess	NN	princess
,	,	,
``	``	``
As	IN	As
you	PRP	you
have	VBP	have
given	VBN	give
your	PRP$	your
word	NN	word
you	PRP	you
must	MD	must
keep	VB	keep
it	PRP	it
;	:	;
so	RB	so
go	VB	go
and	CC	and
let	VB	let
him	PRP	him
in	IN	in
.	.	.
''	''	''
She	PRP	She
did	VBD	do
so	RB	so
,	,	,
and	CC	and
the	DT	the
frog	NN	frog
hopped	VBD	hop
into	IN	into
the	DT	the
room	NN	room
,	,	,
and	CC	and
then	RB	then
straight	VBD	straight
on	IN	on
--	:	--
tap	NN	tap
,	,	,
tap	NN	tap
--	:	--
plash	NN	plash
,	,	,
plash	NN	plash
--	:	--
from	IN	from
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
room	NN	room
to	TO	to
the	DT	the
top	JJ	top
,	,	,
till	VB	till
he	PRP	he
came	VBD	come
up	RB	up
close	RB	close
to	TO	to
the	DT	the
table	NN	table
where	WRB	where
the	DT	the
princess	NN	princess
sat	VBD	sit
.	.	.
``	``	``
Pray	NNP	Pray
lift	VB	lift
me	PRP	me
upon	IN	upon
chair	NN	chair
,	,	,
''	''	''
said	VBD	say
he	PRP	he
to	TO	to
the	DT	the
princess	NN	princess
,	,	,
``	``	``
and	CC	and
let	VB	let
me	PRP	me
sit	VB	sit
next	JJ	next
to	TO	to
you	PRP	you
.	.	.
''	''	''
As	RB	As
soon	RB	soon
as	IN	a
she	PRP	she
had	VBD	have
done	VBN	do
this	DT	this
,	,	,
the	DT	the
frog	NN	frog
said	VBD	say
,	,	,
``	``	``
Put	VB	Put
your	PRP$	your
plate	NN	plate
nearer	NN	nearer
to	TO	to
me	PRP	me
,	,	,
that	IN	that
I	PRP	I
may	MD	may
eat	VB	eat
out	IN	out
of	IN	of
it	PRP	it
.	.	.
''	''	''
This	DT	This
she	PRP	she
did	VBD	do
,	,	,
and	CC	and
when	WRB	when
he	PRP	he
had	VBD	have
eaten	VBN	eat
as	RB	as
much	JJ	much
as	IN	a
he	PRP	he
could	MD	could
,	,	,
he	PRP	he
said	VBD	say
,	,	,
``	``	``
Now	RB	Now
I	PRP	I
am	VBP	be
tired	VBN	tire
;	:	;
carry	VB	carry
me	PRP	me
upstairs	JJ	upstairs
,	,	,
and	CC	and
put	VB	put
me	PRP	me
into	IN	into
your	PRP$	your
bed	NN	bed
.	.	.
''	''	''
And	CC	And
the	DT	the
princess	NN	princess
,	,	,
though	RB	though
very	RB	very
unwilling	JJ	unwilling
,	,	,
took	VBD	take
him	PRP	him
up	RP	up
in	IN	in
her	PRP$	her
hand	NN	hand
,	,	,
and	CC	and
put	VBD	put
him	PRP	him
upon	IN	upon
the	DT	the
pillow	NN	pillow
of	IN	of
her	PRP$	her
own	JJ	own
bed	NN	bed
,	,	,
where	WRB	where
he	PRP	he
slept	VBD	sleep
all	DT	all
night	NN	night
long	RB	long
.	.	.
As	RB	As
soon	RB	soon
as	IN	a
it	PRP	it
was	VBD	be
light	JJ	light
he	PRP	he
jumped	VBD	jump
up	RP	up
,	,	,
hopped	VBD	hop
downstairs	NNS	downstairs
,	,	,
and	CC	and
went	VBD	go
out	IN	out
of	IN	of
the	DT	the
house	NN	house
.	.	.
``	``	``
Now	RB	Now
,	,	,
then	RB	then
,	,	,
''	''	''
thought	VBD	think
the	DT	the
princess	NN	princess
,	,	,
``	``	``
at	IN	at
last	JJ	last
he	PRP	he
is	VBZ	be
gone	VBN	go
,	,	,
and	CC	and
I	PRP	I
shall	MD	shall
be	VB	be
troubled	VBN	trouble
with	IN	with
him	PRP	him
no	DT	no
more	RBR	more
.	.	.
''	''	''
But	CC	But
she	PRP	she
was	VBD	be
mistaken	VBN	mistake
;	:	;
for	IN	for
when	WRB	when
night	NN	night
came	VBD	come
again	RB	again
she	PRP	she
heard	VBD	hear
the	DT	the
same	JJ	same
tapping	NN	tapping
at	IN	at
the	DT	the
door	NN	door
;	:	;
and	CC	and
the	DT	the
frog	NN	frog
came	VBD	come
once	RB	once
more	JJR	more
,	,	,
and	CC	and
said	VBD	say
:	:	:
``	``	``
Open	VB	Open
the	DT	the
door	NN	door
,	,	,
my	PRP$	my
princess	JJ	princess
dear	NN	dear
,	,	,
Open	NNP	Open
the	DT	the
door	NN	door
to	TO	to
thy	VB	thy
true	JJ	true
love	NN	love
here	RB	here
!	.	!
And	CC	And
mind	VB	mind
the	DT	the
words	NNS	word
that	WDT	that
thou	VBP	thou
and	CC	and
I	PRP	I
said	VBD	say
By	IN	By
the	DT	the
fountain	NN	fountain
cool	NN	cool
,	,	,
in	IN	in
the	DT	the
greenwood	NN	greenwood
shade	NN	shade
.	.	.
''	''	''
And	CC	And
when	WRB	when
the	DT	the
princess	NN	princess
opened	VBD	open
the	DT	the
door	NN	door
the	DT	the
frog	NN	frog
came	VBD	come
in	IN	in
,	,	,
and	CC	and
slept	VBD	sleep
upon	IN	upon
her	PRP$	her
pillow	NN	pillow
as	IN	a
before	RB	before
,	,	,
till	VB	till
the	DT	the
morning	NN	morning
broke	VBD	break
.	.	.
And	CC	And
the	DT	the
third	JJ	third
night	NN	night
he	PRP	he
did	VBD	do
the	DT	the
same	JJ	same
.	.	.
But	CC	But
when	WRB	when
the	DT	the
princess	NN	princess
awoke	VBD	awake
on	IN	on
the	DT	the
following	JJ	following
morning	NN	morning
she	PRP	she
was	VBD	be
astonished	VBN	astonish
to	TO	to
see	VB	see
,	,	,
instead	RB	instead
of	IN	of
the	DT	the
frog	NN	frog
,	,	,
a	DT	a
handsome	JJ	handsome
prince	NN	prince
,	,	,
gazing	VBG	gaze
on	IN	on
her	PRP	her
with	IN	with
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
eyes	NNS	eye
she	PRP	she
had	VBD	have
ever	RB	ever
seen	VBN	see
,	,	,
and	CC	and
standing	VBG	stand
at	IN	at
the	DT	the
head	NN	head
of	IN	of
her	PRP$	her
bed	NN	bed
.	.	.
He	PRP	He
told	VBD	tell
her	PRP	her
that	IN	that
he	PRP	he
had	VBD	have
been	VBN	be
enchanted	VBN	enchant
by	IN	by
a	DT	a
spiteful	JJ	spiteful
fairy	NN	fairy
,	,	,
who	WP	who
had	VBD	have
changed	VBN	change
him	PRP	him
into	IN	into
a	DT	a
frog	NN	frog
;	:	;
and	CC	and
that	IN	that
he	PRP	he
had	VBD	have
been	VBN	be
fated	VBN	fat
so	RB	so
to	TO	to
abide	VB	abide
till	VB	till
some	DT	some
princess	NN	princess
should	MD	should
take	VB	take
him	PRP	him
out	IN	out
of	IN	of
the	DT	the
spring	NN	spring
,	,	,
and	CC	and
let	VB	let
him	PRP	him
eat	VB	eat
from	IN	from
her	PRP$	her
plate	NN	plate
,	,	,
and	CC	and
sleep	JJ	sleep
upon	IN	upon
her	PRP$	her
bed	NN	bed
for	IN	for
three	CD	three
nights	NNS	night
.	.	.
``	``	``
You	PRP	You
,	,	,
''	''	''
said	VBD	say
the	DT	the
prince	NN	prince
,	,	,
``	``	``
have	VBP	have
broken	VBN	break
his	PRP$	his
cruel	NN	cruel
charm	NN	charm
,	,	,
and	CC	and
now	RB	now
I	PRP	I
have	VBP	have
nothing	NN	nothing
to	TO	to
wish	VB	wish
for	IN	for
but	CC	but
that	IN	that
you	PRP	you
should	MD	should
go	VB	go
with	IN	with
me	PRP	me
into	IN	into
my	PRP$	my
father	NN	father
''	''	''
s	NN	s
kingdom	NN	kingdom
,	,	,
where	WRB	where
I	PRP	I
will	MD	will
marry	VB	marry
you	PRP	you
,	,	,
and	CC	and
love	VB	love
you	PRP	you
as	RB	as
long	RB	long
as	IN	a
you	PRP	you
live	VBP	live
.	.	.
''	''	''
The	DT	The
young	JJ	young
princess	NN	princess
,	,	,
you	PRP	you
may	MD	may
be	VB	be
sure	JJ	sure
,	,	,
was	VBD	be
not	RB	not
long	RB	long
in	IN	in
saying	VBG	say
``	``	``
Yes	UH	Yes
''	''	''
to	TO	to
all	PDT	all
this	DT	this
;	:	;
and	CC	and
as	IN	a
they	PRP	they
spoke	VBD	speak
a	DT	a
gay	JJ	gay
coach	NN	coach
drove	VBD	drive
up	RB	up
,	,	,
with	IN	with
eight	CD	eight
beautiful	JJ	beautiful
horses	NNS	horse
,	,	,
decked	VBN	deck
with	IN	with
plumes	NNS	plume
of	IN	of
feathers	NNS	feather
and	CC	and
a	DT	a
golden	JJ	golden
harness	NN	harness
;	:	;
and	CC	and
behind	IN	behind
the	DT	the
coach	NN	coach
rode	VBD	ride
the	DT	the
prince	NN	prince
''	''	''
s	NN	s
servant	NN	servant
,	,	,
faithful	JJ	faithful
Heinrich	NNP	Heinrich
,	,	,
who	WP	who
had	VBD	have
bewailed	VBN	bewail
the	DT	the
misfortunes	NNS	misfortune
of	IN	of
his	PRP$	his
dear	JJ	dear
master	NN	master
during	IN	during
his	PRP$	his
enchantment	NN	enchantment
so	RB	so
long	RB	long
and	CC	and
so	RB	so
bitterly	RB	bitterly
,	,	,
that	IN	that
his	PRP$	his
heart	NN	heart
had	VBD	have
well-nigh	JJ	well-nigh
burst	NN	burst
.	.	.
They	PRP	They
then	RB	then
took	VBD	take
leave	NN	leave
of	IN	of
the	DT	the
king	NN	king
,	,	,
and	CC	and
got	VBD	get
into	IN	into
the	DT	the
coach	NN	coach
with	IN	with
eight	CD	eight
horses	NNS	horse
,	,	,
and	CC	and
all	DT	all
set	VBN	set
out	RP	out
,	,	,
full	JJ	full
of	IN	of
joy	NN	joy
and	CC	and
merriment	NN	merriment
,	,	,
for	IN	for
the	DT	the
prince	NN	prince
''	''	''
s	NN	s
kingdom	NN	kingdom
,	,	,
which	WDT	which
they	PRP	they
reached	VBD	reach
safely	RB	safely
;	:	;
and	CC	and
there	EX	there
they	PRP	they
lived	VBD	live
happily	RB	happily
a	DT	a
great	JJ	great
many	JJ	many
years	NNS	year
.	.	.
IN	NNP	IN
the	DT	the
forest	NN	forest
that	WDT	that
extends	VBZ	extend
from	IN	from
the	DT	the
banks	NNS	bank
of	IN	of
the	DT	the
Gudenau	NNP	Gudenau
,	,	,
in	IN	in
North	NNP	North
Jutland	NNP	Jutland
,	,	,
a	DT	a
long	JJ	long
way	NN	way
into	IN	into
the	DT	the
country	NN	country
,	,	,
and	CC	and
not	RB	not
far	RB	far
from	IN	from
the	DT	the
clear	JJ	clear
stream	NN	stream
,	,	,
rises	VBZ	rise
a	DT	a
great	JJ	great
ridge	NN	ridge
of	IN	of
land	NN	land
,	,	,
which	WDT	which
stretches	VBZ	stretch
through	IN	through
the	DT	the
wood	NN	wood
like	IN	like
a	DT	a
wall	NN	wall
.	.	.
Westward	NNP	Westward
of	IN	of
this	DT	this
ridge	NN	ridge
,	,	,
and	CC	and
not	RB	not
far	RB	far
from	IN	from
the	DT	the
river	NN	river
,	,	,
stands	VBZ	stand
a	DT	a
farmhouse	NN	farmhouse
,	,	,
surrounded	VBN	surround
by	IN	by
such	JJ	such
poor	JJ	poor
land	NN	land
that	IN	that
the	DT	the
sandy	JJ	sandy
soil	NN	soil
shows	VBZ	show
itself	PRP	itself
between	IN	between
the	DT	the
scanty	JJ	scanty
ears	NNS	ear
of	IN	of
rye	NN	rye
and	CC	and
wheat	NN	wheat
which	WDT	which
grow	NN	grow
in	IN	in
it	PRP	it
.	.	.
Some	DT	Some
years	NNS	year
have	VBP	have
passed	VBN	pass
since	IN	since
the	DT	the
people	NNS	people
who	WP	who
lived	VBD	live
here	RB	here
cultivated	VBN	cultivate
these	DT	these
fields	NNS	field
;	:	;
they	PRP	they
kept	VBD	keep
three	CD	three
sheep	NN	sheep
,	,	,
a	DT	a
pig	NN	pig
,	,	,
and	CC	and
two	CD	two
oxen	NN	ox
;	:	;
in	IN	in
fact	NN	fact
they	PRP	they
maintained	VBD	maintain
themselves	PRP	themselves
very	RB	very
well	RB	well
,	,	,
they	PRP	they
had	VBD	have
quite	RB	quite
enough	JJ	enough
to	TO	to
live	VB	live
upon	NN	upon
,	,	,
as	IN	a
people	NNS	people
generally	RB	generally
have	VBP	have
who	WP	who
are	VBP	be
content	JJ	content
with	IN	with
their	PRP$	their
lot	NN	lot
.	.	.
They	PRP	They
even	RB	even
could	MD	could
have	VB	have
afforded	VBN	afford
to	TO	to
keep	VB	keep
two	CD	two
horses	NNS	horse
,	,	,
but	CC	but
it	PRP	it
was	VBD	be
a	DT	a
saying	VBG	say
among	IN	among
the	DT	the
farmers	NNS	farmer
in	IN	in
those	DT	those
parts	NNS	part
,	,	,
``	``	``
The	DT	The
horse	NN	horse
eats	VBZ	eat
himself	PRP	himself
up	RP	up
;	:	;
''	''	''
that	WDT	that
is	VBZ	be
to	TO	to
say	VB	say
,	,	,
he	PRP	he
eats	VBZ	eat
as	RB	as
much	JJ	much
as	IN	a
he	PRP	he
earns	VBZ	earn
.	.	.
Jeppe	NNP	Jeppe
Jans	NNPS	Jans
cultivated	VBD	cultivate
his	PRP$	his
fields	NNS	field
in	IN	in
summer	NN	summer
,	,	,
and	CC	and
in	IN	in
the	DT	the
winter	NN	winter
he	PRP	he
made	VBD	make
wooden	NN	wooden
shoes	NNS	shoe
.	.	.
He	PRP	He
also	RB	also
had	VBD	have
an	DT	an
assistant	NN	assistant
,	,	,
a	DT	a
lad	NN	lad
who	WP	who
understood	VBD	understand
as	RB	as
well	RB	well
as	IN	a
he	PRP	he
himself	PRP	himself
did	VBD	do
how	WRB	how
to	TO	to
make	VB	make
wooden	NN	wooden
shoes	NNS	shoe
strong	JJ	strong
,	,	,
but	CC	but
light	NN	light
,	,	,
and	CC	and
in	IN	in
the	DT	the
fashion	NN	fashion
.	.	.
They	PRP	They
carved	VBD	carve
shoes	NNS	shoe
and	CC	and
spoons	NNS	spoon
,	,	,
which	WDT	which
paid	VBD	pay
well	RB	well
;	:	;
therefore	RB	therefore
no	DT	no
one	NN	one
could	MD	could
justly	RB	justly
call	VB	call
Jeppe	NNP	Jeppe
Jans	NNPS	Jans
and	CC	and
his	PRP$	his
family	NN	family
poor	JJ	poor
people	NNS	people
.	.	.
Little	JJ	Little
Ib	NNP	Ib
,	,	,
a	DT	a
boy	NN	boy
of	IN	of
seven	CD	seven
years	NNS	year
old	JJ	old
and	CC	and
the	DT	the
only	JJ	only
child	NN	child
,	,	,
would	MD	would
sit	VB	sit
by	IN	by
,	,	,
watching	VBG	watch
the	DT	the
workmen	NNS	workman
,	,	,
or	CC	or
cutting	VBG	cut
a	DT	a
stick	NN	stick
,	,	,
and	CC	and
sometimes	RB	sometimes
his	PRP$	his
finger	NN	finger
instead	RB	instead
of	IN	of
the	DT	the
stick	NN	stick
.	.	.
But	CC	But
one	CD	one
day	NN	day
Ib	NNP	Ib
succeeded	VBD	succeed
so	RB	so
well	RB	well
in	IN	in
his	PRP$	his
carving	NN	carving
that	IN	that
he	PRP	he
made	VBD	make
two	CD	two
pieces	NNS	piece
of	IN	of
wood	NN	wood
look	VBP	look
really	RB	really
like	JJ	like
two	CD	two
little	JJ	little
wooden	JJ	wooden
shoes	NNS	shoe
,	,	,
and	CC	and
he	PRP	he
determined	VBD	determine
to	TO	to
give	VB	give
them	PRP	them
as	IN	a
a	DT	a
present	JJ	present
to	TO	to
Little	NNP	Little
Christina	NNP	Christina
.	.	.
``	``	``
And	CC	And
who	WP	who
was	VBD	be
Little	NNP	Little
Christina	NNP	Christina
?	.	?
''	''	''
